10297,S12_2823,30,136
10297,S12_4473,50,55.09
10297,S18_1129,22,75.46
10297,S18_1749,49,35.29
10219,S12_4473,48,94.8
10219,S18_1129,43,132.62
10219,S18_1749,21,31.12
10219,S18_2823,35,47.62
10224,S12_2823,43,141.58
10224,S12_4473,38,57.2
10224,S18_1129,37,60.26
10224,S18_1749,43,37.01
10224,S18_1984,30,94.91
10224,S18_2238,50,81.36
10240,S18_1129,41,125.97
10240,S18_1984,37,136.56
10240,S18_3685,37,134.22
10243,S12_4473,47,111.87
10243,S18_1129,33,30.87
10303,S12_2823,46,56.91
10303,S12_4473,24,35.7	
